frame,video,segundo,brillo_medio,nitidez,pct_quemado,n_detecciones,confianza_media
frame_00000_t0000.00.jpg,DJI_20260817185708_0001_D,0.0,123.17,928.84,0.29,2,0.3191
frame_00001_t0001.00.jpg,DJI_20260817185708_0001_D,1.0,122.9,955.84,0.28,2,0.3566
frame_00002_t0002.00.jpg,DJI_20260817185708_0001_D,2.0,123.37,984.13,0.28,2,0.3795
frame_00003_t0003.00.jpg,DJI_20260817185708_0001_D,3.0,123.68,987.25,0.29,4,0.3494
frame_00004_t0004.00.jpg,DJI_20260817185708_0001_D,4.0,123.49,972.16,0.34,2,0.498
frame_00005_t0005.00.jpg,DJI_20260817185708_0001_D,5.0,123.56,1054.17,0.55,2,0.2932
frame_00006_t0006.01.jpg,DJI_20260817185708_0001_D,6.01,125.2,1093.37,0.89,2,0.2823
frame_00007_t0007.01.jpg,DJI_20260817185708_0001_D,7.01,125.93,995.74,0.89,4,0.3781
frame_00008_t0008.01.jpg,DJI_20260817185708_0001_D,8.01,126.24,1007.09,0.81,3,0.3743
frame_00009_t0009.01.jpg,DJI_20260817185708_0001_D,9.01,125.07,1010.56,0.79,2,0.4546
frame_00010_t0010.01.jpg,DJI_20260817185708_0001_D,10.01,122.94,1049.11,0.68,4,0.369
frame_00011_t0011.01.jpg,DJI_20260817185708_0001_D,11.01,118.98,1026.41,0.7,1,0.6808
frame_00012_t0012.01.jpg,DJI_20260817185708_0001_D,12.01,117.52,1058.86,0.55,1,0.4966
frame_00013_t0013.01.jpg,DJI_20260817185708_0001_D,13.01,117.82,1064.65,0.28,0,
frame_00014_t0014.01.jpg,DJI_20260817185708_0001_D,14.01,119.09,1083.2,0.26,1,0.2923
frame_00015_t0015.01.jpg,DJI_20260817185708_0001_D,15.01,120.69,1167.36,0.27,0,
frame_00016_t0016.02.jpg,DJI_20260817185708_0001_D,16.02,121.52,1116.08,0.29,0,
frame_00017_t0017.02.jpg,DJI_20260817185708_0001_D,17.02,122.36,1099.47,0.31,0,
frame_00018_t0018.02.jpg,DJI_20260817185708_0001_D,18.02,122.93,1116.25,0.33,0,
frame_00019_t0019.02.jpg,DJI_20260817185708_0001_D,19.02,123.62,1096.74,0.34,0,
frame_00020_t0020.02.jpg,DJI_20260817185708_0001_D,20.02,124.41,1132.93,0.36,0,
frame_00021_t0021.02.jpg,DJI_20260817185708_0001_D,21.02,125.27,1085.82,0.38,0,
frame_00022_t0022.02.jpg,DJI_20260817185708_0001_D,22.02,125.47,1104.06,0.4,0,
frame_00023_t0023.02.jpg,DJI_20260817185708_0001_D,23.02,124.92,1111.28,0.42,0,
frame_00024_t0024.02.jpg,DJI_20260817185708_0001_D,24.02,123.1,1139.91,0.47,0,
frame_00025_t0025.02.jpg,DJI_20260817185708_0001_D,25.02,121.72,1211.32,0.52,0,
frame_00026_t0026.03.jpg,DJI_20260817185708_0001_D,26.03,120.38,1112.93,0.58,2,0.5432
frame_00000_t0000.00.jpg,DJI_20260817185751_0002_D,0.0,135.16,778.27,1.05,1,0.2617
