video,frames,detecciones,tasa_deteccion_pct,brillo_medio,nitidez_media,quemado_medio_pct
DJI_20260817185708_0001_D,27,34,55.6,122.8,1065.4,0.46
DJI_20260817185751_0002_D,42,32,57.1,134.3,768.3,0.72
DJI_20260817185843_0003_D,47,20,36.2,139.5,1475.2,0.96
DJI_20260817185938_0004_D,37,5,13.5,120.5,1451.0,0.41
DJI_20260817190026_0005_D,36,13,30.6,130.2,2383.9,0.77
DJI_20260817190115_0006_D,155,167,57.4,126.0,888.9,1.11
DJI_20260817190510_0007_D,55,20,18.2,110.0,527.5,1.63
DJI_20260817190613_0008_D,38,0,0.0,110.0,464.8,1.75
DJI_20260817190704_0009_D,72,51,63.9,131.5,900.2,0.02
DJI_20260817190838_0010_D,94,45,33.0,125.5,710.4,0.62
